population_cnv_id	chr	start	end	deletion_observations	deletion_frequency	deletion_standard_error	duplication_observations	duplication_frequency	duplication_standard_error	observations	frequency	standard_error	type	sample_size	study
45	1	618487	986974	0	0	1	6	0.001013685	0.40804132	6	0.001013685	0.40804132	1	5919	Affy6
46	1	637238	724071	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
47	1	664474	676093	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
48	1	724314	727245	0	0	1	5	0.011111111	0.444722135	5	0.011111111	0.444722135	1	450	42Mgenotyped
49	1	724323	727145	4	0.1	0.474341649	0	0	1	4	0.1	0.474341649	-1	40	42Mcalls
50	1	725126	762523	0	0	1	26	0.030769231	0.193075391	26	0.030769231	0.193075391	1	845	DDD
51	1	738636	742073	137	0.072410148	0.082284439	0	0	1	137	0.072410148	0.082284439	-1	1892	1Gdelgenotyped
52	1	740857	824136	2	0.000337895	0.706987307	0	0	1	2	0.000337895	0.706987307	-1	5919	Affy6
53	1	754193	762622	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
54	1	760892	805603	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
55	1	766593	769112	120	0.063424947	0.088344734	0	0	1	120	0.063424947	0.088344734	-1	1892	1Gdelgenotyped
56	1	768793	792480	5	0.000844737	0.447024667	0	0	1	5	0.000844737	0.447024667	-1	5919	Affy6
57	1	776769	791881	16	0.00845666	0.248940673	0	0	1	16	0.00845666	0.248940673	-1	1892	1Gdelgenotyped
58	1	779727	787354	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
59	1	794595	861577	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
60	1	796161	850687	0	0	1	2	0.000337895	0.706987307	2	0.000337895	0.706987307	1	5919	Affy6
61	1	804456	904607	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
62	1	869322	870347	12	0.3	0.241522946	24	0.6	0.129099445	36	0.9	0.052704628	0	40	42Mcalls
63	1	873417	874049	183	0.096723044	0.070256243	0	0	1	183	0.096723044	0.070256243	-1	1892	1Gdelgenotyped
64	1	876418	879967	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
65	1	894356	896949	0	0	1	3	0.003550296	0.576324476	3	0.003550296	0.576324476	1	845	DDD
66	1	895996	896199	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
67	1	896011	896936	1	0.001183432	0.999408109	27	0.031952663	0.189350482	28	0.033136095	0.185824793	0	845	DDD
68	1	896775	896949	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
69	1	897119	897175	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
70	1	905899	905944	3	0.003550296	0.576324476	0	0	1	3	0.003550296	0.576324476	-1	845	DDD
71	1	905899	906347	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
72	1	906302	907699	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
73	1	947121	948001	150	0.079281184	0.07834619	0	0	1	150	0.079281184	0.07834619	-1	1892	1Gdelgenotyped
74	1	963692	964480	6	0.15	0.376386326	0	0	1	6	0.15	0.376386326	-1	40	42Mcalls
75	1	981079	981238	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
76	1	982291	983003	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
77	1	982765	983003	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
78	1	1011003	1014676	11	0.275	0.256727659	1	0.025	0.987420883	12	0.3	0.241522946	0	40	42Mcalls
79	1	1034333	1035323	0	0	1	24	0.6	0.129099445	24	0.6	0.129099445	1	40	42Mcalls
80	1	1074390	1076516	0	0	1	17	0.425	0.183911744	17	0.425	0.183911744	1	40	42Mcalls
81	1	1137019	1138274	0	0	1	8	0.2	0.316227766	8	0.2	0.316227766	1	40	42Mcalls
82	1	1142719	1143140	635	0.335623679	0.032345972	0	0	1	635	0.335623679	0.032345972	-1	1892	1Gdelgenotyped
83	1	1178394	1182042	0	0	1	3	0.003550296	0.576324476	3	0.003550296	0.576324476	1	845	DDD
84	1	1192584	1192698	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
85	1	1216777	1226092	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
86	1	1223234	1225981	14	0.35	0.215472902	2	0.05	0.689202438	16	0.4	0.193649167	0	40	42Mcalls
87	1	1229970	1230217	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
88	1	1231191	1231656	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
89	1	1231572	1231656	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
90	1	1235650	1297746	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
91	1	1237514	1244964	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
92	1	1243151	1245001	0	0	1	29	0.034319527	0.182481031	29	0.034319527	0.182481031	1	845	DDD
93	1	1244063	1244564	0	0	1	3	0.003550296	0.576324476	3	0.003550296	0.576324476	1	845	DDD
94	1	1247712	1247756	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
95	1	1274747	1275643	1	0.001183432	0.999408109	4	0.004733728	0.498815164	5	0.00591716	0.445888515	0	845	DDD
96	1	1275136	1275445	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
97	1	1285346	1286891	0	0	1	16	0.4	0.193649167	16	0.4	0.193649167	1	40	42Mcalls
98	1	1309478	1310863	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
99	1	1311716	1510801	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
100	1	1324026	1324183	0	0	1	24	0.028402367	0.20120446	24	0.028402367	0.20120446	1	845	DDD
101	1	1341133	1342712	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
102	1	1362430	1363536	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
103	1	1385015	1387718	3	0.003550296	0.576324476	0	0	1	3	0.003550296	0.576324476	-1	845	DDD
104	1	1385641	1404179	18	0.021301775	0.233178309	1	0.001183432	0.999408109	19	0.022485207	0.22682184	0	845	DDD
105	1	1387473	1387562	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
106	1	1387644	1456101	10	0.01183432	0.314351027	2	0.002366864	0.706269473	12	0.014201183	0.286618041	0	845	DDD
107	1	1400340	1408917	36	0.019027484	0.165073428	0	0	1	36	0.019027484	0.165073428	-1	1892	1Gdelgenotyped
108	1	1412599	1418411	2	0.002366864	0.706269473	0	0	1	2	0.002366864	0.706269473	-1	845	DDD
109	1	1414920	1416161	3	0.075	0.555277708	0	0	1	3	0.075	0.555277708	-1	40	42Mcalls
110	1	1414922	1431564	21	0.024852071	0.215489247	1	0.001183432	0.999408109	22	0.026035503	0.210407019	0	845	DDD
111	1	1417980	1418411	5	0.00591716	0.445888515	0	0	1	5	0.00591716	0.445888515	-1	845	DDD
112	1	1423235	1423280	103	0.121893491	0.092332583	31	0.036686391	0.176279983	134	0.158579882	0.079241748	0	845	DDD
113	1	1443563	1445764	143	0.075581395	0.080401902	0	0	1	143	0.075581395	0.080401902	-1	1892	1Gdelgenotyped
114	1	1452518	1454285	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
115	1	1454232	1454285	0	0	1	4	0.004733728	0.498815164	4	0.004733728	0.498815164	1	845	DDD
116	1	1458892	1460704	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
117	1	1475051	1475854	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
118	1	1510801	1672603	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
119	1	1522874	1524670	195	0.103065539	0.067820822	0	0	1	195	0.103065539	0.067820822	-1	1892	1Gdelgenotyped
120	1	1540943	1541951	3	0.075	0.555277708	0	0	1	3	0.075	0.555277708	-1	40	42Mcalls
121	1	1550662	1551496	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
122	1	1560709	1560768	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
123	1	1560901	1571200	152	0.080338266	0.077784357	0	0	1	152	0.080338266	0.077784357	-1	1892	1Gdelgenotyped
124	1	1562015	1564066	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
125	1	1564801	1564906	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
126	1	1564801	1568200	491	0.259513742	0.038834503	0	0	1	491	0.259513742	0.038834503	-1	1892	1Gdelgenotyped
127	1	1564805	1564906	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
128	1	1567556	1567652	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
129	1	1567881	1683706	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
130	1	1567881	1683706	0	0	1	399	0.886666667	0.016853588	399	0.886666667	0.016853588	1	450	42Mgenotyped
131	1	1568303	1572851	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
132	1	1568307	1572851	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
133	1	1569233	1588829	19	0.022485207	0.22682184	0	0	1	19	0.022485207	0.22682184	-1	845	DDD
134	1	1570016	1570060	1	0.001183432	0.999408109	1	0.001183432	0.999408109	2	0.002366864	0.706269473	0	845	DDD
135	1	1570016	1571849	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
136	1	1571804	1572098	1	0.001183432	0.999408109	2	0.002366864	0.706269473	3	0.003550296	0.576324476	0	845	DDD
137	1	1572558	1572602	0	0	1	29	0.034319527	0.182481031	29	0.034319527	0.182481031	1	845	DDD
138	1	1572558	1572851	1	0.001183432	0.999408109	3	0.003550296	0.576324476	4	0.004733728	0.498815164	0	845	DDD
139	1	1572558	1573158	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
140	1	1573839	1674143	12	0.014201183	0.286618041	10	0.01183432	0.314351027	22	0.026035503	0.210407019	0	845	DDD
141	1	1577041	1577179	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
142	1	1582058	1583437	6	0.007100592	0.406796306	0	0	1	6	0.007100592	0.406796306	-1	845	DDD
143	1	1587091	1653304	20	0.010570825	0.222421804	0	0	1	20	0.010570825	0.222421804	-1	1892	1Gdelgenotyped
144	1	1596535	1596581	2	0.002366864	0.706269473	0	0	1	2	0.002366864	0.706269473	-1	845	DDD
145	1	1622719	1636270	13	0.015384615	0.275208366	6	0.007100592	0.406796306	19	0.022485207	0.22682184	0	845	DDD
146	1	1625694	1678590	41	0.04852071	0.152337822	17	0.020118343	0.240083522	58	0.068639053	0.126719956	0	845	DDD
147	1	1629336	1672603	362	0.06115898	0.050926255	43	0.007264741	0.151943629	405	0.06842372	0.047960279	0	5919	Affy6
148	1	1634989	1635317	1	0.001183432	0.999408109	2	0.002366864	0.706269473	3	0.003550296	0.576324476	0	845	DDD
149	1	1635207	1635413	10	0.01183432	0.314351027	2	0.002366864	0.706269473	12	0.014201183	0.286618041	0	845	DDD
150	1	1635207	1635831	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
151	1	1635776	1635831	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
152	1	1640686	1655462	14	0.016568047	0.265037996	1	0.001183432	0.999408109	15	0.017751479	0.255896922	0	845	DDD
153	1	1653134	1654038	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
154	1	1654091	1655841	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
155	1	1654121	1670432	13	0.015384615	0.275208366	5	0.00591716	0.445888515	18	0.021301775	0.233178309	0	845	DDD
156	1	1663006	1667015	3	0.003550296	0.576324476	0	0	1	3	0.003550296	0.576324476	-1	845	DDD
157	1	1663006	1671157	2	0.002366864	0.706269473	1	0.001183432	0.999408109	3	0.003550296	0.576324476	0	845	DDD
158	1	1772235	1773644	64	0.033826638	0.122867647	0	0	1	64	0.033826638	0.122867647	-1	1892	1Gdelgenotyped
159	1	1773827	1775617	56	0.029598309	0.131638147	0	0	1	56	0.029598309	0.131638147	-1	1892	1Gdelgenotyped
160	1	1821633	1822520	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
161	1	1875789	1875929	1	0.001183432	0.999408109	3	0.003550296	0.576324476	4	0.004733728	0.498815164	0	845	DDD
162	1	1910362	1911856	15	0.375	0.204124145	0	0	1	15	0.375	0.204124145	-1	40	42Mcalls
163	1	1910389	1913919	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
164	1	1912935	1913911	3	0.075	0.555277708	2	0.05	0.689202438	5	0.125	0.418330013	0	40	42Mcalls
165	1	2024548	2027401	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
166	1	2024554	2027386	72	0.038054968	0.11558697	0	0	1	72	0.038054968	0.11558697	-1	1892	1Gdelgenotyped
167	1	2052961	2055975	12	0.026666667	0.284800125	0	0	1	12	0.026666667	0.284800125	-1	450	42Mgenotyped
168	1	2053160	2055996	20	0.5	0.158113883	7	0.175	0.343303281	27	0.675	0.109713431	0	40	42Mcalls
169	1	2162136	2163113	115	0.060782241	0.09037207	0	0	1	115	0.060782241	0.09037207	-1	1892	1Gdelgenotyped
170	1	2203738	2365949	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
171	1	2211996	2214142	10	0.25	0.273861279	4	0.1	0.474341649	14	0.35	0.215472902	0	40	42Mcalls
172	1	2262032	2276504	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
173	1	2269948	2286408	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
174	1	2280423	2303512	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
175	1	2325371	2363327	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
176	1	2371985	2374312	24	0.012684989	0.202825357	0	0	1	24	0.012684989	0.202825357	-1	1892	1Gdelgenotyped
177	1	2387458	2394455	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
178	1	2390257	2391271	12	0.3	0.241522946	0	0	1	12	0.3	0.241522946	-1	40	42Mcalls
179	1	2426352	2430586	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
180	1	2445601	2445750	0	0	1	2	0.002366864	0.706269473	2	0.002366864	0.706269473	1	845	DDD
181	1	2535573	2537083	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
182	1	2565924	2566759	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
183	1	2568650	2632227	7	0.175	0.343303281	14	0.35	0.215472902	21	0.525	0.150396302	0	40	42Mcalls
184	1	2583647	2588347	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
185	1	2614794	2633591	0	0	1	8	0.2	0.316227766	8	0.2	0.316227766	1	40	42Mcalls
186	1	2631982	2634182	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
187	1	2684255	2684800	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
188	1	2684255	2695047	2	0.05	0.689202438	11	0.275	0.256727659	13	0.325	0.227866358	0	40	42Mcalls
189	1	2693029	2697101	13	0.006871036	0.276395614	0	0	1	13	0.006871036	0.276395614	-1	1892	1Gdelgenotyped
190	1	2694445	3208375	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
191	1	2892800	2894875	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
192	1	2918690	2919922	121	0.063953488	0.087954088	0	0	1	121	0.063953488	0.087954088	-1	1892	1Gdelgenotyped
193	1	2919031	2919366	510	0.269556025	0.037844988	0	0	1	510	0.269556025	0.037844988	-1	1892	1Gdelgenotyped
194	1	3081734	3082776	0	0	1	5	0.125	0.418330013	5	0.125	0.418330013	1	40	42Mcalls
195	1	3083952	3084887	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
196	1	3097474	3098766	0	0	1	6	0.15	0.376386326	6	0.15	0.376386326	1	40	42Mcalls
197	1	3209949	3212147	41	0.02167019	0.154472336	0	0	1	41	0.02167019	0.154472336	-1	1892	1Gdelgenotyped
198	1	3215377	3217395	11	0.275	0.256727659	0	0	1	11	0.275	0.256727659	-1	40	42Mcalls
199	1	3394250	4807521	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
200	1	3499741	3500615	3	0.075	0.555277708	0	0	1	3	0.075	0.555277708	-1	40	42Mcalls
201	1	3541927	3544938	0	0	1	1	0.001183432	0.999408109	1	0.001183432	0.999408109	1	845	DDD
202	1	3560245	3560955	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
203	1	3647024	3707892	0	0	1	2	0.000337895	0.706987307	2	0.000337895	0.706987307	1	5919	Affy6
204	1	3666647	3668400	40	0.021141649	0.15643356	0	0	1	40	0.021141649	0.15643356	-1	1892	1Gdelgenotyped
205	1	3670537	3671607	147	0.07769556	0.079209721	0	0	1	147	0.07769556	0.079209721	-1	1892	1Gdelgenotyped
206	1	3808437	3809202	0	0	1	2	0.05	0.689202438	2	0.05	0.689202438	1	40	42Mcalls
207	1	4023823	4031327	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
208	1	4044756	4045264	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
209	1	4044756	4045264	2	0.004444444	0.705533683	0	0	1	2	0.004444444	0.705533683	-1	450	42Mgenotyped
210	1	4123884	4127959	3	0.075	0.555277708	0	0	1	3	0.075	0.555277708	-1	40	42Mcalls
211	1	4136792	4138963	13	0.325	0.227866358	0	0	1	13	0.325	0.227866358	-1	40	42Mcalls
212	1	4160575	4166034	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
213	1	4284606	4285948	63	0.033298097	0.123872816	0	0	1	63	0.033298097	0.123872816	-1	1892	1Gdelgenotyped
214	1	4284635	4286005	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
215	1	4284635	4286005	6	0.013333333	0.405517502	0	0	1	6	0.013333333	0.405517502	-1	450	42Mgenotyped
216	1	4364573	4366788	30	0.015856237	0.181120932	0	0	1	30	0.015856237	0.181120932	-1	1892	1Gdelgenotyped
217	1	4391676	4393717	22	0.55	0.143019388	0	0	1	22	0.55	0.143019388	-1	40	42Mcalls
218	1	4392736	4393623	2	0.05	0.689202438	0	0	1	2	0.05	0.689202438	-1	40	42Mcalls
219	1	4393668	4404190	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
220	1	4402810	4404190	0	0	1	1	0.025	0.987420883	1	0.025	0.987420883	1	40	42Mcalls
221	1	4403374	4404266	0	0	1	7	0.175	0.343303281	7	0.175	0.343303281	1	40	42Mcalls
222	1	4414086	4417961	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
223	1	4597917	4603368	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
224	1	4597917	4603368	1	0.002222222	0.998888271	0	0	1	1	0.002222222	0.998888271	-1	450	42Mgenotyped
225	1	4882350	4883038	114	0.0602537	0.090793109	0	0	1	114	0.0602537	0.090793109	-1	1892	1Gdelgenotyped
226	1	4901708	5032458	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
227	1	5028128	5056368	1	0.000528541	0.999735694	0	0	1	1	0.000528541	0.999735694	-1	1892	1Gdelgenotyped
228	1	5037812	5049097	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
229	1	5090715	5174017	5	0.000844737	0.447024667	0	0	1	5	0.000844737	0.447024667	-1	5919	Affy6
230	1	5112057	5174017	0	0	1	3	0.000506842	0.577203938	3	0.000506842	0.577203938	1	5919	Affy6
231	1	5163652	5165101	45	0.023784355	0.147287749	0	0	1	45	0.023784355	0.147287749	-1	1892	1Gdelgenotyped
232	1	5172432	5173497	65	0.03435518	0.121885496	0	0	1	65	0.03435518	0.121885496	-1	1892	1Gdelgenotyped
233	1	5196671	5197414	1	0.025	0.987420883	0	0	1	1	0.025	0.987420883	-1	40	42Mcalls
234	1	5196671	5197414	6	0.013333333	0.405517502	0	0	1	6	0.013333333	0.405517502	-1	450	42Mgenotyped
235	1	5302112	5304560	16	0.00845666	0.248940673	0	0	1	16	0.00845666	0.248940673	-1	1892	1Gdelgenotyped
236	1	5359279	5362135	10	0.005285412	0.315390962	0	0	1	10	0.005285412	0.315390962	-1	1892	1Gdelgenotyped
237	1	5402870	5425109	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
238	1	5403433	5404651	51	0.026955603	0.138127846	0	0	1	51	0.026955603	0.138127846	-1	1892	1Gdelgenotyped
239	1	5643758	5647477	1	0.000168947	0.999915523	0	0	1	1	0.000168947	0.999915523	-1	5919	Affy6
240	1	5644646	5645443	106	0.05602537	0.094368538	0	0	1	106	0.05602537	0.094368538	-1	1892	1Gdelgenotyped
241	1	5770685	5770815	5	0.00591716	0.445888515	0	0	1	5	0.00591716	0.445888515	-1	845	DDD
242	1	5770685	5770978	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
243	1	5770741	5770815	6	0.007100592	0.406796306	0	0	1	6	0.007100592	0.406796306	-1	845	DDD
244	1	5770741	5770978	1	0.001183432	0.999408109	0	0	1	1	0.001183432	0.999408109	-1	845	DDD
245	1	5876631	5878013	7	0.175	0.343303281	0	0	1	7	0.175	0.343303281	-1	40	42Mcalls
246	1	5897007	6088364	0	0	1	1	0.000168947	0.999915523	1	0.000168947	0.999915523	1	5919	Affy6
